"Search products...","Ricerca prodotti"
"View Cart","Vai al Carrello"
"View cart","Vai al carrello"
"All Categories","Categorie"
"On Sale","Offerta"
"You may like this products","Prodotti che ti potrebbero interessare"
"Billing address information","Dettagli indirizzo di fatturazione"
"Write your request here","Scrivi la tua richiesta qui"
"What's your request?","Quale è la tua richiesta?"
"Your Dashboard","Area utente"
"More Categories","Altre categorie"
"Close Menu","Chiudi menu"
"You have logged in succesfully. You will be redirected to the page you were browsing in 5 seconds.","Hai effettuato correttamente l'accesso. Verrai reindirizzato alla pagina che stavi navigando tra 5 secondi."
"You are logged in","Hai effettuato l'accesso"
"Data sheet","Scheda tecnica"
"Item was removed successfully.","Articolo rimosso correttamente."
"%1 is only sold with quantity is %2. Please update your cart items!","%1 può essere acquistato a blocchi di %2 unità o somme di questi."
"%1 is only bought at most %2.","%1 non può superare i %2 pezzi."
"Cancel","Annulla"
"Foreign resellers and particular countries must ask for a quotation in order to ship the items.","Per i rivenditori esteri e per alcuni paesi è necessario chiedere un preventivo per le spese di spedizione."
"Resellers will pay PayPal commission separately.","I rivenditori pagheranno a parte le commissioni di PayPal."
"Select product quantity","Scegli la quantità del prodotto"
"Foreign resellers","I rivenditori stranieri"
" and "," ed "
"some countries","alcuni paesi"
" must ask for a quotation in order to ship the items."," richiedono un preventivo per le spese di spedizione."
"Cash On Delivery Fee","Sovrapprezzo pagamento alla consegna"
"You must set your address information in order to proceed.","Devi inserire le informazioni relative al tuo indirizzo prima di poter procedere."
"Please fill all the required fields.","Per favore compila tutti i campi richiesti."
"If you can't log in, try recovering your password by clicking the link below ""Forgot Your Password?"".","Se non riesci ad accedere, prova a recuperare la password cliccando sul link sottostante ""Hai dimenticato la password?""."
"Ship here","Spedisci qui"
"First character must be letter.","Il primo carattere deve essere una lettera."
"New Shipping Address","Aggiungi indirizzo di spedizione"
Approved,Approvato
"Not Approved","Non approvato"
"Customer account has been approved!","Account cliente approvato!"
"Customer account has not been approved!","Account cliente rifiutato!"
"A total of %1 record(s) were updated.","%1 voci sono state aggiornate."
"Customer does not exist.","Il cliente non esiste."
Other,Altro
"Edit Customer","Modifica cliente"
"Module is not enabled for the website of this customer","Il modulo non è attivo sul sito del cliente"
"Approval Status:","Stato approvazione:"
"Your account on %store_name has been approved","Il tuo account su %store_name è stato approvato"
"%name,","%name,"
"Congratulations! Your account has been <strong>approved</strong>","Congratulazioni! Il tuo account è stato <strong>approvato</strong>"
"From now on, you can surf our website to explore a lot of interesting things with your account information as below:","Puoi accedere al sito effettuando il login tramite le seguenti credenziali:"
Name:,Nome:
"The one you set when you registered your account","Quella impostata in fase di creazione account"
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Per accedere al sito, accedi alla pagina <a href=""%customer_url"">Il mio account</a>."
"Thanks,<br>%store_name","Grazie,<br>%store_name"
"Your account on %store_name has not been approved.","Il tuo account su %store_name non è stato approvato."
"Thank you for registering your account at our website. Unfortunately, we <strong>cannot accept</strong> your account.","Grazie per esserti registrato. Sfortunatamente, <strong>non possiamo accettare</strong> il tuo account."
"Please contact us for more information.","Puoi contattarci per ulteriori informazioni."
"A new account from %store_name has been registered.","Un nuovo account si è registrato su %store_name."
Hi,Ciao
"A new account has just been registered with the following details:","Un nuovo account si è appena registrato con le seguenti credenziali:"
"Please go to Customer Management section to confirm the approval for this account.","Vai nella sezione di gestione dei clienti per confermare o rifiutare questo account."
"Thanks,","Grazie,"
"Your account on %store_name has been created successful.","Il tuo account su %store_name è stato creato correttamente."
"Your account has been set in pending status. However, the account need the <strong>approval</strong> before login. We hope for your kind waiting.","Il tuo account è attualmente in fase di revisione. Necessita dell'<strong>approvazione</strong> per poter essere utilizzato. Ti ringraziamo per la pazienza."
"Please contact us if you have any questions.","Contattaci per qualsiasi problema."
"If yes, customers will be approved when registering from the frontend","If yes, customers will be approved when registering from the frontend"
"Enter your comment...","Inserisci il commento..."
"All Brands","Tutti i marchi"
"Search Brand","Cerca marchi"
"en-GB","it-IT"
"Create Account","Crea un Account"
"We don't have as many quantity as you requested, but we'll back order the remaining %1.","Non abbiamo abbastanza unità a magazzino, spediremo non appena saranno disponibili le restanti %1 unità."
"Estimate shipping cost","Stima dei costi di spedizione"
"Estimate","Stima"
"Free","Gratuito"
"Courier","Corriere"
"Int. courier","Corriere int."
"Quotation after order","Preventivo a seguito ordine"
"Orders placed between <strong>August 6th</strong> and <strong>17th</strong> included will be shipped starting from <strong>August 19th</strong>.","Gli ordini effettuati tra il <strong>6</strong> e il <strong>17 agosto</strong> inclusi verranno evasi a partire dal <strong>19 agosto</strong>."
"We remind you that orders placed between August 6th and 17th included will be shipped starting from August 19th.","Ti ricordiamo che gli ordini effettuati tra il 6 e il 17 agosto inclusi verranno evasi a partire dal 19 agosto."
"Select Option ...","Seleziona un valore"
"This is a required field","Questo campo è obbligatorio"
"This is a required field.","Questo campo è obbligatorio."
"My Account","Il mio Account",module,Magento_Backend
"My Account","Il mio Account",module,Magento_Customer
"My Account","Il mio Account",theme,frontend\Magento\luma
"My Account","Il mio Account",theme,frontend/Magento/luma
"My Account","Il mio Account",theme,frontend/Magento/blank
"My Account","Il mio Account",theme,frontend\Magento\blank
"Price list updated","Listino prezzi aggiornato"
"There was no need to update any price","Non risultano modifiche da apportare al listino attuale"
"Already have an account? Click here to login","Hai già un account? Clicca qui per accedere."
"Create account","Crea account"
"Login successfully. Please wait...","Login effettuato. Attendere..."
"New Address","Nuovo indirizzo"
"You already have an account with us.","Hai già un account con questo nome."
"or continue as guest.","o continua come ospite."
"Sorry, no quotes are available for this order at this time","Siamo spiacenti, al momento non ci sono metodi disponibili per questo ordine"
"Sorry, no quotes are available for this order at this time","Siamo spiacenti, al momento non ci sono metodi disponibili per questo ordine",module,Magetop_Osc
"Sorry, no quotes are available for this order at this time","Siamo spiacenti, al momento non ci sono metodi disponibili per questo ordine",module,Magento_Checkout
"Sorry, no quotes are available for this order at this time","Siamo spiacenti, al momento non ci sono metodi disponibili per questo ordine",module,Magento_NegotiableQuote